State,Time,Utilization
Processing,0.000000,0.915504
Busy,0.000000,0.915504
Generating,0.000000,0.915504
Collecting,0.000000,0.915504
Releasing,0.000000,0.915504
Conveying,0.000000,0.915504
Travel empty,476789.251439,0.915504
Travel loaded,1028306.720432,0.915504
Offset travel empty,0.000000,0.915504
Offset travel loaded,0.000000,0.915504
Loading,631751.305568,0.915504
Unloading,631637.217020,0.915504
Setup,0.000000,0.915504
Utilize,0.000000,0.915504
Full,0.000000,0.915504
Not empty,0.000000,0.915504
Filling,0.000000,0.915504
Mixing,0.000000,0.915504
Flowing,0.000000,0.915504
Allocated idle,0.000000,0.915504
Change over,0.000000,0.915504
Preprocessing,0.000000,0.915504
Postprocessing,0.000000,0.915504
Inspecting,0.000000,0.915504
Operating,0.000000,0.915504
Purging,0.000000,0.915504
Cleaning,0.000000,0.915504
Accelerating,0.000000,0.915504
Maxspeed,0.000000,0.915504
Decelerating,0.000000,0.915504
Accumulating,0.000000,0.915504
Idle,87196.177705,0.915504
Blocked,167199.327834,0.915504
Empty,0.000000,0.915504
Waiting for operator,1120.000000,0.915504
Waiting for transporter,0.000000,0.915504
Breakdown,0.000000,0.915504
Down,0.000000,0.915504
Starved,0.000000,0.915504
Repair,0.000000,0.915504
Maintenance,0.000000,0.915504
Lunch,0.000000,0.915504
On break,0.000000,0.915504
Suspend,0.000000,0.915504
Available,0.000000,0.915504
Standby,0.000000,0.915504
Stopped,0.000000,0.915504
Waiting,0.000000,0.915504
